BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Badín;obec;;;;;;;;;;;;áno;áno;áno;áno;7;85.7;*;*;*;100.0;66;*;3.9
Badín;obec;intravilán;mimo obce;1000;;vysporiadané;nie;nie;áno;nie;nie;asfaltová;;;;;2;50.0;0.0;0.0;0.0;100.0;12;*;
Badín;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;5;100.0;*;*;*;100.0;44;8.8;
Dolná Mičiná;obec;*;mimo obce;100;;nevysporiadané;áno;nie;áno;nie;áno;asfaltová;áno;nie;áno;nie;4;25.0;0.0;0.0;0.0;100.0;18;4.8;5.3
Dúbravica - Lesť;obec;extravilán;mimo obce;1000;iné;čiastočne vysporiadané;áno;nie;áno;nie;áno;iná;áno;nie;áno;nie;8;100.0;0.0;0.0;0.0;100.0;57;7.1;15.8
Hrochoť;obec;;;;;;;;;;;;áno;áno;áno;nie;27;100.0;85.2;*;0.0;92.6;185;6.9;13.5
Hrochoť;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;nie;nie;áno;nie;*;asfaltová;;;;;4;100.0;0.0;0.0;0.0;50.0;28;7.5;
Hrochoť;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;nie;áno;;;;;;23;100.0;100.0;*;0.0;100.0;157;6.8;
Môlča;obec;;;;;;;;;;;;áno;nie;áno;nie;16;68.8;*;0.0;0.0;87.5;106;*;27.9
Môlča;obec;extravilán;mimo obce;1000;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;11;54.5;*;0.0;0.0;81.8;91;*;
Môlča;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;5;100.0;100.0;0.0;0.0;100.0;25;5.6;
Poniky;obec;;;;;;;;;;;;áno;nie;áno;nie;11;54.5;54.5;0.0;0.0;54.5;67;6.1;4.3
Poniky;obec;intravilán;na okraji;;;*;áno;nie;áno;nie;áno;asfaltová;;;;;6;16.7;16.7;0.0;0.0;16.7;33;5.5;
Poniky;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;5;100.0;100.0;0.0;0.0;100.0;34;6.8;
Sebedín - Bečov;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;4;100.0;100.0;0.0;0.0;100.0;27;6.8;6.9
Slovenská Ľupča;obec;;;;;;;;;;;;áno;áno;áno;áno;39;84.6;*;*;*;*;159;*;5.2
Slovenská Ľupča;obec;*;mimo obce;100;iné;vysporiadané;nie;nie;áno;nie;áno;iná;;;;;14;57.1;0.0;0.0;0.0;*;58;*;
Slovenská Ľupča;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;25;100.0;*;*;*;100.0;101;4.0;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES BANSKÁ ŠTIAVNICA;;;;;;;;;;;;;;;;;;;;;;;;;
Baďan;obec;;;;;;;;;;;;áno;nie;áno;nie;4;100.0;75.0;0.0;0.0;100.0;35;10.8;16.1
Baďan;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;3;100.0;100.0;0.0;0.0;100.0;25;8.3;
Baďan;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;nie;nie;áno;nie;áno;;;;;;1;100.0;0.0;0.0;0.0;100.0;10;18.0;
Banská Belá;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;12;100.0;100.0;91.7;83.3;91.7;38;3.6;3.1
Banská Štiavnica;mesto;;;;;;;;;;;;áno;čiastočne;áno;áno;74;87.8;87.8;82.4;18.9;87.8;233;3.1;2.2
Banská Štiavnica;mesto;intravilán;mimo obce;3000;;vysporiadané;áno;čiastočne;áno;nie;nie;asfaltová;;;;;60;85.0;85.0;85.0;0.0;85.0;177;2.9;
