KOŠICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES GELNICA;;;;;;;;;;;;;;;;;;;;;;;;;
Gelnica;mesto;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;*;*;*;*;*;*;520;*;7.9
Gelnica;mesto;intravilán;mimo obce;3000;;čiastočne vysporiadané;áno;nie;áno;nie;áno;iná;;;;;10;60.0;60.0;0.0;0.0;20.0;55;8.0;
Gelnica;mesto;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;nie;nie;áno;nie;čiastočne;*;;;;;1;100.0;0.0;0.0;0.0;100.0;40;40.0;
Helcmanovce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;áno;iná;áno;nie;áno;čiastočne;63;100.0;47.6;0.0;31.7;100.0;252;4.0;16.0
Jaklovce;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;8;100.0;75.0;25.0;37.5;100.0;103;12.1;5.2
Jaklovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;6;100.0;100.0;33.3;50.0;100.0;45;7.5;
Jaklovce;obec;intravilán;mimo obce;;potok;vysporiadané;nie;nie;nie;nie;nie;iná;;;;;2;100.0;0.0;0.0;0.0;100.0;58;26.0;
Kojšov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;14;100.0;100.0;0.0;50.0;100.0;77;5.6;10.1
Margecany;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;nie;áno;áno;nie;áno;;áno;áno;áno;áno;1;100.0;0.0;100.0;0.0;100.0;34;16.0;1.7
Mníšek nad Hnilcom;obec;;;;;;;;;;;;áno;nie;áno;čiastočne;68;67.6;0.0;0.0;*;100.0;584;8.7;34.5
Mníšek nad Hnilcom;obec;intravilán;mimo obce;200;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;33;33.3;0.0;0.0;0.0;100.0;184;5.8;
Mníšek nad Hnilcom;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;;;;;35;100.0;0.0;0.0;*;100.0;400;11.4;
Nálepkovo;obec;;;;;;;;;;;;áno;áno;áno;nie;91;85.7;62.6;62.6;0.0;100.0;1115;12.3;41.3
Nálepkovo;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;nie;áno;;;;;;34;100.0;50.0;50.0;0.0;97.1;540;16.3;
Nálepkovo;obec;intravilán;mimo obce;1000;;vysporiadané;áno;čiastočne;áno;nie;áno;asfaltová;;;;;32;87.5;75.0;75.0;0.0;93.8;310;9.7;
Nálepkovo;obec;intravilán;mimo obce;1200;;vysporiadané;áno;čiastočne;áno;nie;áno;asfaltová;;;;;24;66.7;66.7;66.7;0.0;100.0;230;9.6;
Nálepkovo;obec;intravilán;mimo obce;2000;;vysporiadané;nie;nie;nie;nie;nie;asfaltová;;;;;1;100.0;0.0;0.0;0.0;100.0;35;35.0;
Prakovce;obec;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;*;*;*;*;*;*;500;*;14.6
Prakovce;obec;intravilán;na okraji;;;vysporiadané;áno;áno;čiastočne;čiastočne;áno;asfaltová;;;;;18;100.0;0.0;100.0;44.4;44.4;100;5.6;
Prakovce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;čiastočne;nie;áno;iná;;;;;3;100.0;0.0;0.0;0.0;66.7;59;6.7;
Prakovce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;22;68.2;68.2;0.0;0.0;68.2;150;*;
Prakovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;*;*;*;*;*;*;191;*;
Richnava;obec;extravilán;mimo obce;500;cesta;nevysporiadané;nie;nie;áno;nie;nie;iná;nie;nie;áno;áno;176;0.6;0.6;0.0;0.0;*;1196;6.8;61.9
Smolnícka Huta;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;14;100.0;92.9;0.0;0.0;100.0;102;7.3;20.1
