NITRIANSKY KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES KOMÁRNO;;;;;;;;;;;;;;;;;;;;;;;;;
Bajč;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;nie;nie;áno;nie;čiastočne;;nie;nie;áno;nie;6;100.0;0.0;0.0;0.0;100.0;36;8.7;3.0
Bátorové Kosihy;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;80;100.0;30.0;0.0;62.5;100.0;416;5.7;11.9
Čalovec ;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;7;100.0;100.0;0.0;100.0;85.7;56;8.0;4.7
Dulovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;42;97.6;31.0;0.0;19.0;45.2;296;7.0;16.1
Hurbanovo;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;áno;áno;áno;áno;45;77.8;8.9;0.0;55.6;100.0;845;20.6;10.7
Iža;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;32;100.0;100.0;0.0;93.8;100.0;124;3.9;7.5
Kameničná;obec;;;;;;;;;;;;áno;nie;áno;áno;8;100.0;75.0;0.0;37.5;75.0;33;4.1;1.8
Kameničná;obec;intravilán;na okraji;;;nevysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;5;100.0;60.0;0.0;0.0;60.0;13;2.6;
Kameničná;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;3;100.0;100.0;0.0;100.0;100.0;20;6.7;
Kolárovo;mesto;intravilán;na okraji;;;nevysporiadané;áno;nie;áno;čiastočne;áno;iná;áno;čiastočne;áno;čiastočne;72;97.2;13.9;0.0;6.9;69.4;500;*;4.6
Marcelová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;40;100.0;25.0;0.0;25.0;100.0;420;10.5;11.1
Moča;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;8;100.0;87.5;0.0;87.5;100.0;51;6.4;4.4
Modrany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;38;100.0;26.3;0.0;26.3;100.0;225;6.3;15.8
Nesvady;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;41;87.8;85.4;0.0;24.4;100.0;373;9.1;7.4
Pribeta;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;áno;áno;;nie;nie;áno;áno;15;100.0;0.0;0.0;66.7;100.0;84;5.6;2.7
Sokolce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;7;100.0;100.0;0.0;0.0;100.0;59;9.1;4.6
Zemianska Olča;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;44;100.0;100.0;0.0;38.6;100.0;196;4.5;7.5
Zlatná na Ostrove;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;31;100.0;100.0;0.0;100.0;100.0;240;9.7;7.2
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES LEVICE;;;;;;;;;;;;;;;;;;;;;;;;;
Bajka;obec;;;;;;;;;;;;áno;nie;áno;áno;38;100.0;84.2;0.0;2.6;100.0;126;3.6;36.4
Bajka;obec;intravilán;na okraji;;;nevysporiadané;nie;nie;nie;nie;nie;iná;;;;;6;100.0;0.0;0.0;0.0;100.0;9;3.3;
Bajka;obec;intravilán;na okraji;;;nevysporiadané;áno;nie;áno;čiastočne;áno;iná;;;;;21;100.0;100.0;0.0;4.8;100.0;65;3.1;
