PREŠOVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BARDEJOV;;;;;;;;;;;;;;;;;;;;;;;;;
Andrejová;obec;;;;;;;;;;;;áno;nie;áno;áno;7;85.7;85.7;0.0;28.6;100.0;80;10.9;25.0
Andrejová;obec;intravilán;mimo obce;100;les;vysporiadané;áno;nie;áno;áno;áno;iná;;;;;6;83.3;83.3;0.0;33.3;100.0;72;11.3;
Andrejová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;1;100.0;100.0;0.0;0.0;100.0;8;8.0;
Bardejov;mesto;;;;;;;;;;;;áno;čiastočne;áno;áno;*;*;*;*;*;*;1548;*;4.7
Bardejov;mesto;intravilán;na okraji;;;vysporiadané;áno;čiastočne;áno;áno;áno;asfaltová;;;;;105;100.0;*;*;0.0;100.0;973;9.3;
Bardejov;mesto;intravilán;mimo obce;400;;vysporiadané;áno;nie;áno;nie;nie;iná;;;;;12;100.0;0.0;0.0;0.0;100.0;75;6.3;
Bardejov;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;*;*;*;*;*;*;500;*;
Becherov;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;5;100.0;100.0;0.0;20.0;100.0;44;8.8;14.6
Cigeľka;obec;extravilán;mimo obce;400;;nevysporiadané;áno;nie;áno;nie;áno;iná;áno;nie;áno;nie;36;22.2;88.9;0.0;0.0;52.8;314;8.7;72.9
Dubinné;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;3;100.0;100.0;0.0;66.7;100.0;11;3.7;2.9
Frička;obec;;;;;;;;;;;;áno;nie;áno;nie;20;45.0;15.0;0.0;0.0;100.0;159;6.5;63.3
Frička;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;nie;áno;nie;nie;;;;;;5;100.0;60.0;0.0;0.0;100.0;43;8.6;
Frička;obec;intravilán;na okraji;;;nevysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;6;0.0;0.0;0.0;0.0;100.0;48;2.2;
Frička;obec;intravilán;na okraji;;;nevysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;9;44.4;0.0;0.0;0.0;100.0;68;8.1;
Gerlachov;obec;;;;;;;;;;;;áno;nie;áno;nie;24;66.7;25.0;0.0;0.0;100.0;164;7.6;16.9
Gerlachov;obec;extravilán;mimo obce;800;kopec;čiastočne vysporiadané;áno;nie;áno;nie;áno;iná;;;;;22;63.6;27.3;0.0;0.0;100.0;148;7.5;
Gerlachov;obec;intravilán;na okraji;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;2;100.0;0.0;0.0;0.0;100.0;16;8.0;
Hrabské;obec;extravilán;mimo obce;1000;;nevysporiadané;nie;nie;áno;nie;áno;iná;áno;nie;áno;nie;38;5.3;0.0;0.0;0.0;100.0;212;5.6;37.4
Kružlov;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;nie;áno;;áno;áno;áno;nie;2;100.0;100.0;100.0;0.0;100.0;10;5.0;1.0
Kurima;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;asfaltová;áno;čiastočne;áno;áno;24;100.0;100.0;100.0;100.0;100.0;157;6.5;14.7
Kurov;obec;intravilán;mimo obce;50;;čiastočne vysporiadané;nie;nie;áno;nie;áno;iná;áno;nie;áno;nie;10;30.0;0.0;0.0;0.0;20.0;136;13.6;24.9
Lascov;obec;extravilán;mimo obce;300;;čiastočne vysporiadané;nie;nie;áno;nie;áno;iná;nie;nie;áno;áno;17;11.8;0.0;0.0;0.0;*;122;8.5;23.5
Lenartov;obec;;;;;;;;;;;;áno;nie;áno;nie;53;35.8;35.8;0.0;0.0;100.0;436;8.3;46.3
Lenartov;obec;intravilán/extravilán;mimo obce;1500;;vysporiadané;nie;nie;áno;nie;áno;iná;;;;;34;0.0;0.0;0.0;0.0;100.0;320;9.4;
