TRENČIANSKY KRAJ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BÁNOVCE NAD BEBRAVOU;;;;;;;;;;;;;;;;;;;;;;;;;
Bánovce nad Bebravou;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;čiastočne;áno;*;áno;áno;áno;čiastočne;32;100.0;100.0;100.0;0.0;100.0;600;18.8;2.9
Pečeňany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;8;100.0;100.0;0.0;0.0;100.0;43;5.4;9.0
Rybany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;čiastočne;áno;;áno;áno;áno;čiastočne;10;100.0;100.0;10.0;0.0;100.0;90;9.0;6.1
Žitná - Radiša;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;5;80.0;80.0;0.0;0.0;100.0;11;4.2;2.3
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES ILAVA;;;;;;;;;;;;;;;;;;;;;;;;;
Bolešov;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;6;100.0;100.0;0.0;83.3;100.0;20;4.2;1.4
Dubnica nad Váhom;mesto;intravilán;integrované/rozptýlené;;;*;áno;áno;áno;áno;áno;;áno;áno;áno;áno;80;100.0;100.0;100.0;100.0;100.0;300;3.8;1.2
Kameničany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;áno;3;100.0;100.0;0.0;0.0;100.0;14;4.7;3.1
Košeca;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;čiastočne;8;100.0;0.0;0.0;50.0;100.0;42;5.5;1.8
Ladce ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;5;100.0;100.0;0.0;100.0;100.0;52;10.4;2.1
Pruské ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;13;100.0;100.0;0.0;100.0;100.0;35;2.7;1.7
Zliechov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;nie;áno;;áno;áno;áno;nie;9;100.0;100.0;0.0;0.0;100.0;20;2.2;3.2
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES MYJAVA;;;;;;;;;;;;;;;;;;;;;;;;;
Kostolné;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;5;100.0;80.0;0.0;40.0;100.0;22;4.4;3.3
Krajné ;obec;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;6;100.0;33.3;0.0;0.0;100.0;33;5.5;2.0
Krajné ;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;4;100.0;0.0;0.0;0.0;100.0;25;6.3;
Krajné ;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;2;100.0;100.0;0.0;0.0;100.0;8;4.0;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES NOVÉ MESTO NAD VÁHOM;;;;;;;;;;;;;;;;;;;;;;;;;
Bošáca;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;áno;áno;áno;áno;6;100.0;100.0;100.0;100.0;100.0;20;3.3;1.5
Bzince pod Javorinou;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;čiastočne;áno;áno;6;100.0;100.0;0.0;100.0;100.0;21;3.5;1.0
Čachtice;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;23;100.0;100.0;0.0;100.0;100.0;290;12.6;8.1
Čachtice;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;15;100.0;100.0;0.0;100.0;100.0;188;12.5;
