TRNAVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES DUNAJSKÁ STREDA;;;;;;;;;;;;;;;;;;;;;;;;;
Lehnice;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;113;97.3;90.3;0.0;*;100.0;533;4.8;25.7
Lehnice;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;6;83.3;0.0;0.0;0.0;100.0;48;8.0;
Lehnice;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;3;66.7;66.7;0.0;66.7;100.0;40;15.3;
Lehnice;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;12;91.7;66.7;0.0;66.7;100.0;75;6.7;
Lehnice;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;92;100.0;100.0;0.0;*;100.0;370;4.0;
Mierovo;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;nie;nie;áno;áno;áno;;nie;čiastočne;áno;áno;2;100.0;0.0;0.0;0.0;100.0;55;27.5;12.8
Michal na Ostrove;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;áno;áno;asfaltová;áno;nie;áno;áno;15;66.7;0.0;0.0;13.3;86.7;95;6.3;11.5
Nový Život;obec;;;;;;;;;;;;áno;nie;áno;áno;52;100.0;100.0;0.0;100.0;100.0;380;7.4;18.3
Nový Život;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;3;100.0;100.0;0.0;100.0;100.0;23;8.7;
Nový Život;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;49;100.0;100.0;0.0;100.0;100.0;357;7.3;
Okoč ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;50;100.0;80.0;0.0;100.0;100.0;160;3.2;4.2
Šamorín;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;*;*;*;*;*;*;500;*;4.0
Štvrtok na Ostrove;obec;;;;;;;;;;;;nie;nie;áno;áno;62;95.2;0.0;0.0;45.2;95.2;334;5.7;19.2
Štvrtok na Ostrove;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;áno;áno;asfaltová;;;;;25;88.0;0.0;0.0;20.0;88.0;111;4.8;
Štvrtok na Ostrove;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;áno;áno;asfaltová;;;;;7;100.0;0.0;0.0;85.7;100.0;53;7.6;
Štvrtok na Ostrove;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;áno;áno;asfaltová;;;;;8;100.0;0.0;0.0;87.5;100.0;37;4.6;
Štvrtok na Ostrove;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;áno;áno;áno;áno;;;;;;22;100.0;0.0;0.0;45.5;100.0;133;6.0;
Topoľníky;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;32;100.0;81.3;0.0;78.1;100.0;150;4.7;5.0
Veľké Dvorníky;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;iná;áno;nie;áno;áno;26;53.8;53.8;0.0;38.5;100.0;138;5.3;16.4
Veľký Meder;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;áno;áno;áno;áno;36;94.4;83.3;83.3;44.4;94.4;400;*;4.1
Vrakúň;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;8;100.0;0.0;0.0;0.0;100.0;66;8.3;2.6
Vrakúň;obec;intravilán;mimo obce;3000;;nevysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;7;100.0;0.0;0.0;0.0;100.0;63;9.0;
Vrakúň;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;;;;;1;100.0;0.0;0.0;0.0;100.0;3;3.0;
