ŽILINSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES ČADCA;;;;;;;;;;;;;;;;;;;;;;;;;
Čadca;mesto;;;;;;;;;;;;áno;áno;áno;áno;39;100.0;100.0;100.0;0.0;*;180;*;0.7
Čadca;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;nie;nie;áno;asfaltová;;;;;15;100.0;100.0;100.0;0.0;*;100;6.7;
Čadca;mesto;intravilán;*;;;vysporiadané;áno;áno;čiastočne;nie;áno;*;;;;;24;100.0;100.0;100.0;0.0;*;80;*;
Svrčinovec ;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;*;áno;asfaltová;áno;áno;áno;áno;3;33.3;0.0;0.0;0.0;0.0;37;*;1.1
Turzovka;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;áno;čiastočne;áno;čiastočne;13;100.0;15.4;0.0;15.4;84.6;152;11.7;1.9
Vysoká nad Kysucou;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;áno;11;100.0;90.9;0.0;0.0;100.0;90;8.2;3.0
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES DOLNÝ KUBÍN;;;;;;;;;;;;;;;;;;;;;;;;;
Dolný Kubín;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;nie;áno;;áno;áno;áno;čiastočne;*;*;*;0.0;0.0;*;400;*;2.0
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES KYSUCKÉ NOVÉ MESTO;;;;;;;;;;;;;;;;;;;;;;;;;
Kysucké Nové Mesto;mesto;;;;;;;;;;;;áno;áno;áno;čiastočne;33;100.0;100.0;100.0;3.0;100.0;195;5.9;1.2
Kysucké Nové Mesto;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;nie;áno;asfaltová;;;;;25;100.0;100.0;100.0;0.0;100.0;120;4.8;
Kysucké Nové Mesto;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;čiastočne;áno;;;;;;8;100.0;100.0;100.0;12.5;100.0;75;9.4;
Nesluša (Puškatka);obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;áno;nie;asfaltová;áno;nie;áno;áno;7;14.3;100.0;0.0;0.0;100.0;78;11.1;2.5
Povina;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;áno;*;áno;nie;áno;áno;2;100.0;100.0;0.0;50.0;100.0;15;3.5;1.3
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES LIPTOVSKÝ MIKULÁŠ;;;;;;;;;;;;;;;;;;;;;;;;;
Hybe;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;čiastočne;6;100.0;66.7;0.0;0.0;100.0;61;10.2;3.8
Jamník ;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;áno;áno;áno;nie;;áno;áno;áno;áno;4;25.0;100.0;0.0;0.0;100.0;22;6.0;5.4
Kráľová Lehota;obec;intravilán;na okraji;;;nevysporiadané;áno;nie;áno;nie;áno;asfaltová;áno;čiastočne;áno;nie;4;100.0;100.0;0.0;0.0;75.0;26;7.8;4.1
Liptovská Porúbka;obec;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;38;97.4;*;*;5.3;100.0;320;8.4;28.1
Liptovská Porúbka;obec;extravilán;mimo obce;3000;;nevysporiadané;nie;nie;áno;nie;nie;žiadna;;;;;2;50.0;0.0;0.0;0.0;100.0;35;17.5;
Liptovská Porúbka;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;36;100.0;*;*;5.6;100.0;285;7.9;
Liptovský Hrádok;mesto;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;11;100.0;100.0;81.8;45.5;100.0;102;9.3;1.2
Liptovský Hrádok;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;4;100.0;100.0;100.0;100.0;100.0;30;7.5;
